CG16817	CG16817	FBgn0037728	Drosophila melanogaster
CG1697	rho-4	FBgn0030318	Drosophila melanogaster
CG17158	cpb	FBgn0011570	Drosophila melanogaster
CG17273	AdSS	FBgn0027493	Drosophila melanogaster
CG17291	Pp2A-29B	FBgn0260439	Drosophila melanogaster
CG17331	Prosbeta4	FBgn0032596	Drosophila melanogaster
CG17369	Vha55	FBgn0005671	Drosophila melanogaster
CG17420	RpL15	FBgn0028697	Drosophila melanogaster
CG17489	RpL5	FBgn0064225	Drosophila melanogaster
CG17492	mib2	FBgn0086442	Drosophila melanogaster
CG17520	CkIIalpha	FBgn0264492	Drosophila melanogaster
CG17521	RpL10	FBgn0024733	Drosophila melanogaster
CG17611	eIF6	FBgn0034915	Drosophila melanogaster
CG1771	mew	FBgn0004456	Drosophila melanogaster
CG17795	mthl2	FBgn0035623	Drosophila melanogaster
CG1782	Uba1	FBgn0023143	Drosophila melanogaster
CG17870	14-3-3zeta	FBgn0004907	Drosophila melanogaster
CG17903	Cyt-c-p	FBgn0284248	Drosophila melanogaster
CG17949	His2B:CG17949	FBgn0061209	Drosophila melanogaster
CG18001	RpL38	FBgn0040007	Drosophila melanogaster
CG18102	shi	FBgn0003392	Drosophila melanogaster
CG18174	Rpn11	FBgn0028694	Drosophila melanogaster
CG1821	RpL31	FBgn0285949	Drosophila melanogaster
CG1836	Rad23	FBgn0026777	Drosophila melanogaster
CG18473	CG18473	FBgn0037683	Drosophila melanogaster
CG18495	Prosalpha1	FBgn0263121	Drosophila melanogaster
CG18572	r	FBgn0003189	Drosophila melanogaster
CG1883	RpS7	FBgn0039757	Drosophila melanogaster
CG1913	alphaTub84B	FBgn0003884	Drosophila melanogaster
CG1945	faf	FBgn0005632	Drosophila melanogaster
CG1963	Pcd	FBgn0024841	Drosophila melanogaster
CG2033	RpS15Aa	FBgn0010198	Drosophila melanogaster
CG2102	cas	FBgn0004878	Drosophila melanogaster
CG2151	Trxr-1	FBgn0020653	Drosophila melanogaster
CG2168	RpS3A	FBgn0017545	Drosophila melanogaster
CG2204	Galphao	FBgn0001122	Drosophila melanogaster
CG2210	awd	FBgn0000150	Drosophila melanogaster
CG2238	eEF2	FBgn0000559	Drosophila melanogaster
CG2248	Rac1	FBgn0010333	Drosophila melanogaster
CG2331	TER94	FBgn0261014	Drosophila melanogaster
CG2493	CG2493	FBgn0032864	Drosophila melanogaster
CG2512	alphaTub84D	FBgn0003885	Drosophila melanogaster
CG2671	l(2)gl	FBgn0002121	Drosophila melanogaster
CG2720	Hop	FBgn0024352	Drosophila melanogaster
CG2746	RpL19	FBgn0285950	Drosophila melanogaster
CG2827	Taldo	FBgn0023477	Drosophila melanogaster
CG2849	Rala	FBgn0015286	Drosophila melanogaster
CG2934	VhaAC39-1	FBgn0285910	Drosophila melanogaster
CG2947	HIP-R	FBgn0029676	Drosophila melanogaster
CG2960	RpL40	FBgn0003941	Drosophila melanogaster
CG2998	RpS28b	FBgn0030136	Drosophila melanogaster
CG30084	Zasp52	FBgn0265991	Drosophila melanogaster
CG3011	Shmt2	FBgn0029823	Drosophila melanogaster
CG3024	Torsin	FBgn0025615	Drosophila melanogaster
CG30382	CG30382	FBgn0050382	Drosophila melanogaster
CG31012	cindr	FBgn0027598	Drosophila melanogaster
CG31075	CG31075	FBgn0051075	Drosophila melanogaster
CG31136	Syx1A	FBgn0013343	Drosophila melanogaster
CG31196	14-3-3epsilon	FBgn0020238	Drosophila melanogaster
CG3127	Pgk	FBgn0250906	Drosophila melanogaster
CG31605	Bsg	FBgn0261822	Drosophila melanogaster
CG31611	His4:CG31611	FBgn0051611	Drosophila melanogaster
CG3164	CG3164	FBgn0025683	Drosophila melanogaster
CG31664	CG31664	FBgn0051664	Drosophila melanogaster
CG3181	Ts	FBgn0024920	Drosophila melanogaster
CG31911	Ent2	FBgn0263916	Drosophila melanogaster
CG3201	Mlc-c	FBgn0004687	Drosophila melanogaster
CG3203	RpL17	FBgn0029897	Drosophila melanogaster
CG32138	Frl	FBgn0267795	Drosophila melanogaster
CG32549	CG32549	FBgn0052549	Drosophila melanogaster
CG32593	Flo2	FBgn0264078	Drosophila melanogaster
CG32789	HIP	FBgn0260484	Drosophila melanogaster
CG3299	Vinc	FBgn0004397	Drosophila melanogaster
CG33103	Ppn	FBgn0003137	Drosophila melanogaster
CG3314	RpL7A	FBgn0014026	Drosophila melanogaster
CG3322	LanB2	FBgn0267348	Drosophila melanogaster
CG3329	Prosbeta2	FBgn0023174	Drosophila melanogaster
CG3333	Nop60B	FBgn0259937	Drosophila melanogaster
CG3379	His4r	FBgn0013981	Drosophila melanogaster
CG33868	His2B:CG33868	FBgn0053868	Drosophila melanogaster
CG33869	His4:CG33869	FBgn0053869	Drosophila melanogaster
CG33870	His2B:CG33870	FBgn0053870	Drosophila melanogaster
CG33871	His4:CG33871	FBgn0053871	Drosophila melanogaster
CG33872	His2B:CG33872	FBgn0053872	Drosophila melanogaster
CG33873	His4:CG33873	FBgn0053873	Drosophila melanogaster
CG33874	His2B:CG33874	FBgn0053874	Drosophila melanogaster
CG33875	His4:CG33875	FBgn0053875	Drosophila melanogaster
CG33876	His2B:CG33876	FBgn0053876	Drosophila melanogaster
CG33877	His4:CG33877	FBgn0053877	Drosophila melanogaster
CG33878	His2B:CG33878	FBgn0053878	Drosophila melanogaster
CG33879	His4:CG33879	FBgn0053879	Drosophila melanogaster
CG33880	His2B:CG33880	FBgn0053880	Drosophila melanogaster
CG33881	His4:CG33881	FBgn0053881	Drosophila melanogaster
CG33882	His2B:CG33882	FBgn0053882	Drosophila melanogaster
CG33883	His4:CG33883	FBgn0053883	Drosophila melanogaster
CG33884	His2B:CG33884	FBgn0053884	Drosophila melanogaster
CG33885	His4:CG33885	FBgn0053885	Drosophila melanogaster
CG33886	His2B:CG33886	FBgn0053886	Drosophila melanogaster
CG33887	His4:CG33887	FBgn0053887	Drosophila melanogaster
CG33888	His2B:CG33888	FBgn0053888	Drosophila melanogaster
CG33889	His4:CG33889	FBgn0053889	Drosophila melanogaster
CG33890	His2B:CG33890	FBgn0053890	Drosophila melanogaster
CG33891	His4:CG33891	FBgn0053891	Drosophila melanogaster
CG33892	His2B:CG33892	FBgn0053892	Drosophila melanogaster
CG33893	His4:CG33893	FBgn0053893	Drosophila melanogaster
CG33894	His2B:CG33894	FBgn0053894	Drosophila melanogaster
CG33895	His4:CG33895	FBgn0053895	Drosophila melanogaster
CG33896	His2B:CG33896	FBgn0053896	Drosophila melanogaster
CG33897	His4:CG33897	FBgn0053897	Drosophila melanogaster
CG33898	His2B:CG33898	FBgn0053898	Drosophila melanogaster
CG33899	His4:CG33899	FBgn0053899	Drosophila melanogaster
