"BUR24" "BUR6" "BURU" "FB24" "FB6" "FBU" "OVD24" "OVD6" "OVDU" "PO24" "PO6" "POU" "SR24" "SR6" "SRU" "ST24" "ST6" "STU" "WF"
"FBgn0014931" 0.934791180057895 0.557585370847677 0.625198069155585 2.5965835276596 4.26062993921818 3.24847825522546 1.52789078414771 1.98522361165882 1.54432432185765 0.611650986172233 0.739655766259241 0.986085928284605 1.746056454827 1.22480379852291 1.55906568447579 0.428085938855952 0.327639992619027 0.708417821516021 3.91888774318105
"FBgn0014930" 29.2082015769289 25.9621865612434 23.8598161851287 75.5309113541693 61.6840134082207 58.6982803260762 24.525322294661 25.5053155564955 22.8333210211145 37.5901465677941 43.0157770034943 31.8579690160488 23.2014491776252 21.7260748734846 24.2357205128122 36.0336411797382 35.7559456140457 40.2454720528016 16.569738279701
"FBgn0027562" 8.71855952141753 6.97584584719042 4.48128738870098 0 0 0 0.103482026161623 0.0328506493650243 0.210966028726294 0.135777815348138 0.0741760033087987 0 0.0139686846629295 0.0852889075115216 0.049350809143536 0 0.0611124218019409 0.0177702367047017 4.49968234848616
"FBgn0027563" 4.68645414465879 6.21400915533876 4.71416707212535 138.265594662621 131.882572554127 96.5017387389363 1.84207503126409 3.97055263815723 1.87694894028419 3.24891870124993 7.82503560042083 4.22027568972204 5.09049906827658 6.70082412496575 4.21411332338179 3.73670909006068 5.00212314415645 3.99635100696682 4.04206685394609
"FBgn0027560" 109.275530991491 129.230683355595 136.138747516051 6273.94148889018 4676.6534163163 6518.20176038495 139.100779452698 214.931925626696 211.194055194346 403.194040681909 455.194920867783 588.353101127424 282.616273487212 277.335257035441 375.374747877867 323.015934892791 246.484339052445 449.435778150086 159.726258348571
"FBgn0027561" 25.0942311377352 26.2432456205049 28.6565968105145 15.0632154225879 23.3605316116383 15.5411415183689 37.3250005636092 29.0505152646465 35.3058805745265 34.3245928427848 28.626567325489 32.8553813591842 30.3828730779905 31.3469618139893 31.7349449582584 28.9497262499289 32.1219600343322 29.7670818663507 47.0245025401747
"FBgn0027567" 23.7275453449839 32.0362235782394 27.7813062671804 16.5650513298603 30.5468657480936 30.1347588949978 37.6337287329587 30.631719672849 36.0602549483997 37.6315326593428 30.2979675015619 38.5375750618501 30.3981247507742 28.8635556213717 30.3860851040962 39.5214082607854 36.6137691882363 43.2402547757317 166.783121917546
"FBgn0027564" 27.4154668210573 43.6576909722602 22.2195892409935 76.8404932157862 65.9059331202282 53.6937614575313 21.1594268842222 28.3205491833132 19.846042766652 23.1945353903074 30.3825924572623 20.9547146918503 21.763748350555 30.1753706784644 19.7724855220857 28.0600248850421 43.4276026948895 33.6124817340392 27.431040260929
"FBgn0027565" 20.1580853258446 10.6595911764017 18.3140778647929 12.3874400187813 11.0055542375339 11.8542723366167 25.5845340780252 13.8906973608705 21.1201049559353 15.7553858994899 14.0179495536428 13.8942543326171 13.6238955228707 9.16440088719599 12.5644304071247 21.7689622831919 19.3613307089415 19.5813313421391 21.840131649626
"FBgn0027568" 19.4548613275776 17.4907073097458 21.5756052634598 9.86092324245459 16.2998691449566 11.9635465142383 21.1682602576369 16.5765555391447 23.885798739947 32.336498841381 28.3849300833098 31.1284586680644 22.6871749937856 23.2619645568402 25.557268620102 28.5131993520543 30.6343807211042 31.2326157929639 39.7020902707915
"FBgn0027569" 13.9427732169354 16.1331787191393 13.7703247565176 14.5678101347415 18.6877985278408 17.5529024982102 13.7208704002882 13.9143744808558 14.0272209798805 22.4058795662461 22.5944944360371 23.2423870565804 18.5770088370189 18.6650202917679 18.4285923664302 22.6098287282405 23.1451942082071 27.9498780739094 22.5774080305284
"FBgn0010438" 8.98596157416691 18.7015678604896 8.61450875117584 11.205305863277 16.0879605835534 18.4373800607532 8.00440247908705 15.8226988118176 9.79028851162383 9.02246665091241 10.4349051465606 8.04779501213524 11.9334817703861 13.8586870078042 10.0917933743981 11.1586652827178 10.0537622755961 9.30142974450837 67.3756388439043
"FBgn0037356" 39.0599959065675 42.1676756606745 30.5204477411993 132.61831799758 109.73969763597 111.716497003217 21.6028954227405 24.1647312089584 20.556155709225 10.3123202589838 14.0581623435141 10.2856290860615 17.7057270520507 18.0133661664873 16.8617455021919 10.4163444229139 11.1069270355562 10.6783675704684 24.3841706596981
"FBgn0262057" 125.848036762877 149.093653880776 114.589650701562 155.78076897262 132.915864043793 132.401496252964 75.7181539481846 77.5906256504852 65.1784825506342 29.6107425181057 32.3029179954539 25.8533265316332 58.0154317292636 82.9586282491415 64.2842832535077 39.2184482481296 30.1280716799675 31.1419721602758 9.61722281579954
"FBgn0030645" 9.09501426918607 10.8739922750922 7.50346180204271 11.8855398120158 10.0456437736437 9.80080866423782 7.43636047726971 7.80842421913241 6.21373446338163 12.1794821374878 13.0901699041254 8.3565454645953 7.60597780670213 7.6782165458209 6.72709430809912 9.22148291394762 11.6024878956295 8.88956448453051 10.579651767621
"FBgn0085218" 1.01720006189843 1.87227117898552 0.674484890195637 6.36880629190441 3.04607852644189 2.58952295881778 1.66972079717359 2.0218069216795 0.989606798176855 188.663706111385 202.110758154389 172.687074209398 5.93642473790492 5.14662764030034 5.88258467551281 2.03822340478872 0.993264200170788 1.16814703561885 0
"FBgn0010435" 97.6303199227719 62.8906482302298 77.858968415809 47.6996125345132 31.5009855622337 41.7903847059361 18.1830186640443 16.5164005239784 18.6706273994664 205.175757488628 139.9260953427 172.83229747634 34.5551794622032 35.6413527824009 41.9700978962277 61.0880380867862 48.2702830980085 46.6253757226166 13.8345027809407
